data,method,frame-acc,F1@.10,F1@.25,F1@.50,notes
BOBSL,audio_aligned,40.15,46.38,33.47,14.11,baseline
BOBSL,audio_aligned + mean (start=2.7),62.41,72.78,64.10,44.61,"their approach, shift by mean start offset"
BOBSL,audio_aligned + mean (start=2.7) + SAT,65.09,71.47,63.61,46.41,their model effective
BOBSL,audio_aligned + mean (start=2.7) + SAT + DTW,70.89,74.08,66.78,53.22,^
BOBSL,"audio_aligned + mean (start=2.72, end=2.96)",62.96,73.26,64.48,45.38,"our approach, shift by both start and end offset"
BOBSL,"audio_aligned + median (start=2.58, end=2.77)",62.61,72.96,64.34,44.88,"similar results, either their or our approach, mean or median"
SRF,audio_aligned,64.06,84.81,75.70,46.85,baseline (our data)
SRF,audio_aligned + mean,76.94,93.47,88.58,72.38,already better than their model output
SRF,audio_aligned + median,77.66,93.36,89.74,74.83,^
SRF,audio_aligned + median + SAT (zero-shot),72.53,89.42,82.29,66.86,worse
SRF,audio_aligned + median + SAT (zero-shot) + DTW,75.88,87.72,82.73,69.76,^
SRF,audio_aligned + median + SAT (BERT),73.55,90.29,84.68,61.17,weak language signal
SRF,audio_aligned + median + SAT (BERT) + DTW,77.50,89.92,85.17,69.52,^
SRF,audio_aligned + median + SAT (BERT + finetune),77.69,92.53,89.15,73.98,just meet the median baseline
SRF,audio_aligned + median + SAT (BERT + finetune) + DTW,78.75,91.66,87.37,74.39,^
SRF,audio_aligned + median + SAT (finetune BERT + finetune),76.74,92.43,87.89,72.88,finetune BERT does not improve
SRF,audio_aligned + median + SAT (finetune BERT + finetune) + DTW,78.64,90.50,86.79,75.20,^
